datetime,temp_lag1,dew_lag1,temp_lag7,sealevelpressure_lag1,daylength_uv,temp_lag3,day_cos,solarradiation,visibility,sealevelpressure_lag3,day_length_h,sealevelpressure_lag7,solarenergy,winddir,dew_lag3,week_cos,dew_lag7,day_sin,windgust,cloudcover_lag1,week_sin,month_cos,winddir_cos_lag1,windspeed_lag1,cloudcover_lag3,cloudcover_lag7,humidity_lag3,precip_lag7,precip_lag3,uvindex,icon_clear-day,icon_cloudy,icon_partly-cloudy-day,icon_rain
2015-01-08,-1.1282589090191228,-1.0144855393558256,-1.3542323744234754,1.0594995000040615,-1.5000187492284416,-0.8380694010104756,1.4061073401629727,-1.5476067167951875,-0.18256376575035085,0.004039900858172754,-1.4019075349908263,1.7175719359869561,-1.5237666506036627,1.784324393110488,-0.3538281902358678,1.3741552958264807,-1.9533826992003591,0.13459526335030933,-0.6376997450620089,1.2426472509261646,0.27949732241807296,1.2469527069678206,1.1053146739879327,1.6291423030304701,1.1926401908075495,-2.642331223067319,0.9372295921434309,-0.6953249499717036,-0.695705968629186,-1.5183777493253163,0.0,0.0,0.0,1.0
2015-01-09,-1.7064341909178908,-1.7278415155769384,-1.6239735891876286,1.8183470545530895,-1.829333575797906,-0.5873991537318259,1.402556994964812,-1.587440951881818,-0.4129844614454079,0.2854700408440779,-1.3927712629774496,1.6190196264131207,-1.5683577027426614,1.784324393110488,-0.13974332316578267,1.3741552958264807,-1.9533826992003591,0.15871616811638992,-0.5810875139892329,0.819781782471014,0.27949732241807296,1.2469527069678206,1.3672996349627653,-0.3395042594484425,1.14814842232932,-1.5732335490897942,0.9183296421590604,-0.6953249499717036,-0.551473202523828,-1.9180969374475203,0.0,0.0,0.0,1.0
2015-01-10,-2.0147943412639004,-1.852678811415633,-1.4891029818055521,1.8886107170113346,-1.8290821648452114,-1.1273043017166096,1.398592493727327,-1.8007468558940984,-0.3553792875216432,1.059402925805317,-1.3833199471015434,1.2388892894854262,-1.8061766474839869,1.784324393110488,-1.0139231970352953,1.3741552958264807,-1.4188766153429704,0.18277230916891485,-1.090597593644218,0.819781782471014,0.27949732241807296,1.2469527069678206,1.3627345537787705,-0.1489900759827408,1.2415811361336022,-0.9651738445338176,-0.13061758197348797,-0.6953249499717036,-0.36159100876222894,-1.9180969374475203,0.0,0.0,0.0,1.0
2015-01-11,-2.45806205738629,-1.7100076161714104,-1.0459567004072998,1.9026634495030028,-1.8288056127972472,-1.7057741031288773,1.3942150112177958,-1.7210783857208374,0.5663034952585859,1.8192643037672416,-1.3729234996380455,0.3237607005854368,-1.7169945432059899,1.784324393110488,-1.7275394206022443,1.3741552958264807,-0.7596524452521909,0.2067565581541162,-0.5386283406846507,1.2515496818410101,0.27949732241807296,1.2469527069678206,1.3514194414188068,-0.5300184429141434,0.8189093355904214,1.076486477332964,-0.6692661565280383,-0.40332635289222596,-0.6481140121365089,-1.9180969374475203,0.0,0.0,0.0,1.0
2015-01-12,-2.2653369634200335,-1.6743398173603548,-0.8340171745211796,1.7340306596032082,-0.5061074495760987,-2.0142913305487538,1.3894258445787593,-0.6930981254206899,0.0478569299447067,1.889621838763718,-1.3625270521745476,-5.403087147610246e-05,-0.7062640280553562,-1.5719809823342539,-1.8524222597264601,1.3234050722830213,-0.34986444762819335,0.23066180802139732,0.48039181862532027,1.2159399581816284,0.44301529570536957,1.2469527069678206,1.2118925509414156,-1.4825893602426494,0.8189093355904214,1.1918846694384777,-0.21566735690315317,-0.6953249499717036,-0.6481140121365089,-0.3192201849587044,0.0,0.0,0.0,1.0
2015-01-13,-1.8413417566942705,-1.7456754149824663,-0.583543189383037,1.6918724621282675,0.4880552610289385,-2.457784844964826,1.3842264129436512,0.7203747324920127,-0.2977741135978791,1.9036933457630323,-1.3515005169859913,0.2815239964823668,0.7206496403925973,1.784324393110488,-1.7096990150130702,1.3234050722830213,-0.13606201408523733,0.25448097512930495,-0.7367711494393671,-0.3330830210014497,0.44301529570536957,1.2469527069678206,1.3656038692575776,-0.5300184429141434,1.2504794898292484,1.1475007493978955,1.3057786168386496,-0.5507856444173622,1.953721252190825,0.8799373794079075,1.0,0.0,0.0,0.0
2015-01-14,-1.956976813074024,-2.031017805470911,-1.1230256189113441,1.6778197296366153,0.4905358490955246,-2.2649615778274033,1.3786182570162782,0.5314833596618608,-0.9890362006830512,1.7348352617714828,-1.3398438940723723,1.0558635717054348,0.5422854318366027,-1.1622692660125566,-1.6740182038347229,1.3234050722830213,-1.0090886177189726,0.2782070013445651,-1.2462812290943528,-2.402898208702976,0.44301529570536957,1.2469527069678206,1.2501389958844358,-1.2920751767769485,1.2148860750466641,1.2407069814831184,0.8710797671981348,-0.3604998919872359,1.953721252190825,0.8799373794079075,0.0,0.0,1.0,0.0
2015-01-15,-1.9762493224706494,-1.9240144090377445,-1.7010425076916724,1.719977927111556,0.16143891201839564,-1.8407503901250735,1.3726030386142754,0.26163854133307207,-1.7955086356157517,1.6926207407736036,-1.3285023150212845,1.8161242455607913,0.25987543495627885,-0.20245510539879044,-1.745379826191418,1.3234050722830213,-1.721763396195491,0.3018328561335607,-1.1472098247169946,-1.4280820235274188,0.44301529570536957,1.2469527069678206,1.1292521834990374,-0.3395042594484425,-0.33342746799572437,0.8190597410975874,-0.27236720685626464,-0.6476318457820556,0.27555844958871245,0.48021819128570353,1.0,0.0,0.0,0.0
2015-01-16,-1.860614266090896,-1.8348449120101054,-2.009318181707848,1.5091869397368207,0.16378541424354423,-1.956444350407527,1.3661825401766743,0.4800843466468534,-1.6226931138444587,1.678549233774305,-1.3159005605200755,1.8865187523992522,0.4679670116049385,1.784324393110488,-2.030826315618197,1.3234050722830213,-1.8464814824288815,0.3253515386456302,-1.3028934601671287,-2.5275322415108104,0.44301529570536957,1.2469527069678206,-0.46640657596666313,-0.7205326263798447,-2.4022947022333985,0.8190597410975874,-0.6031163315827437,-0.6476318457820556,-0.695705968629186,0.48021819128570353,1.0,0.0,0.0,0.0
2015-01-17,-1.7257067003145163,-1.7100076161714104,-2.4524644631061,1.649714264653311,0.16613191646869324,-1.9757266771212694,1.359358664235728,0.5777424713753673,-1.10424654853058,1.7207637547721844,-1.3032988060188668,1.9005976537669635,0.5720127999292688,-1.1350506554876885,-1.9237838820831552,1.3234050722830213,-1.7039465267335778,0.3487560797875705,-0.5386283406846507,-2.385093346873286,0.44301529570536957,1.2469527069678206,1.2190130432235615,-0.911046809845546,-1.4279249725601715,1.249583765491235,-0.3763169317703004,1.9548664837298468,-0.695705968629186,0.48021819128570353,1.0,0.0,0.0,0.0
